"Species","Subarea","LngtClas","CPUE_number_per_hour"
"Gadus morhua","36F0",60,1
"Gadus morhua","36F2",60,1
"Gadus morhua","36F4",60,1
"Gadus morhua","36F5",60,0.4
"Gadus morhua","36F8",60,120
"Pleuronectes platessa","36F8",60,80
"Gadus morhua","37E9",60,6
"Gadus morhua","37F1",60,1
"Gadus morhua","37F2",60,2.25
"Gadus morhua","37F3",60,1
"Gadus morhua","37F4",60,0.667
"Gadus morhua","37F7",60,8
"Pleuronectes platessa","37F8",60,88
"Gadus morhua","38E8",60,5
"Gadus morhua","38E9",60,1.125
"Gadus morhua","38F0",60,3.38875
"Gadus morhua","38F6",60,3.77766666666667
"Gadus morhua","39E9",60,4.3335
"Gadus morhua","39F1",60,1
"Pleuronectes platessa","39F1",60,1
"Gadus morhua","39F4",60,11
"Gadus morhua","39F5",60,940
"Gadus morhua","39F6",60,1.9165
"Gadus morhua","39F7",60,0.667
"Gadus morhua","40E8",60,2
"Gadus morhua","40E9",60,1.22233333333333
"Gadus morhua","40F0",60,2
"Gadus morhua","40F1",60,48.6666666666667
"Gadus morhua","40F2",60,2.83325
"Gadus morhua","40F3",60,0.25
"Gadus morhua","40F5",60,8.5
"Gadus morhua","40F6",60,2.5
"Gadus morhua","41E8",60,0.777666666666667
"Gadus morhua","41F0",60,1
"Gadus morhua","41F1",60,2.5
"Gadus morhua","41F2",60,1
"Gadus morhua","41F3",60,107.666666666667
"Gadus morhua","41F4",60,1.5
"Gadus morhua","41F5",60,1.91675
"Gadus morhua","41G0",60,13.75
"Gadus morhua","41G1",60,1.66666666666667
"Gadus morhua","41G2",60,2.27783333333333
"Gadus morhua","42E7",60,10
"Gadus morhua","42E9",60,1.16666666666667
"Gadus morhua","42F0",60,3.611
"Gadus morhua","42F1",60,7.434
"Gadus morhua","42F2",60,2.04175
"Gadus morhua","42F3",60,4.3334
"Gadus morhua","42F4",60,2
"Gadus morhua","42F5",60,2.5
"Gadus morhua","42F6",60,2.00875
"Gadus morhua","42F7",60,10
"Gadus morhua","42G1",60,2.1334
"Gadus morhua","42G2",60,1.21827272727273
"Gadus morhua","43E9",60,0.333
"Gadus morhua","43F1",60,3.77766666666667
"Gadus morhua","43F2",60,1.08325
"Gadus morhua","43F3",60,3.5
"Gadus morhua","43F5",60,2.5
"Gadus morhua","43F6",60,10.5
"Gadus morhua","43F7",60,3.8335
"Gadus morhua","43F8",60,31.1667777777778
"Gadus morhua","43G0",60,13.4285714285714
"Gadus morhua","43G1",60,2.4438
"Gadus morhua","43G2",60,3.2
"Gadus morhua","44E6",60,3
"Gadus morhua","44E7",60,10
"Gadus morhua","44E9",60,0.4165
"Gadus morhua","44F0",60,1
"Gadus morhua","44F1",60,6.1665
"Gadus morhua","44F3",60,0.8335
"Gadus morhua","44F4",60,5
"Gadus morhua","44F5",60,11.6666666666667
"Gadus morhua","44F8",60,10.8166
"Gadus morhua","44F9",60,25.2949285714286
"Gadus morhua","44G0",60,16.1067333333333
"Gadus morhua","44G1",60,21.9644
"Pleuronectes platessa","44G1",60,0.667
"Gadus morhua","45E8",60,1.5
"Gadus morhua","45E9",60,1
"Gadus morhua","45F0",60,1.05566666666667
"Gadus morhua","45F1",60,1.375
"Gadus morhua","45F2",60,1
"Gadus morhua","45F3",60,4
"Gadus morhua","45F4",60,3.75
"Gadus morhua","45F9",60,2
"Gadus morhua","45G0",60,4.58333333333333
"Gadus morhua","45G1",60,5.55
"Gadus morhua","46E9",60,1
"Gadus morhua","46F0",60,3
"Gadus morhua","46F1",60,2
"Gadus morhua","46F2",60,0.667
"Gadus morhua","46G0",60,10.66675
"Gadus morhua","46G1",60,11
"Gadus morhua","47E7",60,1
"Gadus morhua","47E8",60,1
"Gadus morhua","47E9",60,1.66666666666667
"Gadus morhua","47F0",60,4
"Gadus morhua","47F1",60,4.66666666666667
"Gadus morhua","47F2",60,1.5
"Gadus morhua","47F3",60,19.25
"Gadus morhua","48F1",60,40.5
"Gadus morhua","48F3",60,15
"Gadus morhua","49F1",60,3
"Gadus morhua","49F2",60,26.5835
"Gadus morhua","49F3",60,5.66666666666667
"Pleuronectes platessa","32F3",70,13.474
"Gadus morhua","34F1",70,2
"Gadus morhua","35F0",70,1
"Gadus morhua","35F2",70,1
"Gadus morhua","36F0",70,1.06666666666667
"Gadus morhua","36F4",70,1.667
"Gadus morhua","36F8",70,400
"Pleuronectes platessa","36F8",70,920
"Gadus morhua","37E9",70,10
"Gadus morhua","37F1",70,1
"Gadus morhua","37F2",70,3.25
"Gadus morhua","37F4",70,1
"Gadus morhua","37F6",70,0.8335
"Gadus morhua","37F7",70,22
"Pleuronectes platessa","37F8",70,1
"Gadus morhua","38E8",70,7
"Gadus morhua","38E9",70,2.04175
"Gadus morhua","38F0",70,5.889
"Gadus morhua","38F5",70,1
"Gadus morhua","38F6",70,5.9165
"Gadus morhua","38F7",70,2
"Pleuronectes platessa","38F8",70,8
"Gadus morhua","39E9",70,2.11133333333333
"Gadus morhua","39F0",70,1
"Gadus morhua","39F1",70,2
"Gadus morhua","39F4",70,2.66666666666667
"Gadus morhua","39F5",70,31.25
"Gadus morhua","39F6",70,3.5835
"Gadus morhua","39F7",70,2.667
"Gadus morhua","40E8",70,1
"Gadus morhua","40E9",70,1.79175
"Gadus morhua","40F0",70,2.2
"Gadus morhua","40F1",70,166.5334
"Gadus morhua","40F2",70,10.8
"Gadus morhua","40F5",70,6
"Gadus morhua","40F6",70,11
"Gadus morhua","40F7",70,3
"Pleuronectes platessa","40F7",70,2.5
"Gadus morhua","41E8",70,3
"Gadus morhua","41E9",70,2
"Gadus morhua","41F0",70,2.5
"Gadus morhua","41F1",70,2.5
"Gadus morhua","41F2",70,3.75
"Gadus morhua","41F3",70,157.125
"Gadus morhua","41F4",70,1
"Gadus morhua","41F5",70,7.4666
"Gadus morhua","41F6",70,1
"Gadus morhua","41F7",70,0.5
"Gadus morhua","41G0",70,35
"Gadus morhua","41G1",70,3.16666666666667
"Gadus morhua","41G2",70,3
"Gadus morhua","42E7",70,21
"Gadus morhua","42E8",70,0.5
"Gadus morhua","42E9",70,1.1665
"Gadus morhua","42F0",70,6.75
"Gadus morhua","42F1",70,15.4721666666667
"Gadus morhua","42F2",70,8.8
"Gadus morhua","42F3",70,3.92385714285714
"Gadus morhua","42F4",70,1
"Gadus morhua","42F5",70,1.854125
"Gadus morhua","42F6",70,6.73566666666667
"Gadus morhua","42F7",70,32
"Gadus morhua","42G1",70,4.51527272727273
"Gadus morhua","42G2",70,1.44854545454545
"Gadus morhua","43E8",70,1
"Gadus morhua","43E9",70,0.8335
"Gadus morhua","43F1",70,7.99985714285714
"Gadus morhua","43F2",70,5.77783333333333
"Gadus morhua","43F3",70,2
"Gadus morhua","43F5",70,3.66666666666667
"Gadus morhua","43F6",70,10.625
"Gadus morhua","43F7",70,40.91675
"Gadus morhua","43F8",70,62.5
"Gadus morhua","43G0",70,25
"Pleuronectes platessa","43G0",70,6
"Gadus morhua","43G1",70,3.3806
"Gadus morhua","43G2",70,7.4
"Gadus morhua","44E6",70,32
"Gadus morhua","44E7",70,13
"Gadus morhua","44E9",70,0.667
"Gadus morhua","44F0",70,0.944666666666667
"Gadus morhua","44F1",70,5.125
"Gadus morhua","44F2",70,0.833333333333333
"Gadus morhua","44F3",70,1.1665
"Gadus morhua","44F4",70,16.2381428571429
"Gadus morhua","44F5",70,13.6666666666667
"Gadus morhua","44F8",70,22.2435384615385
"Gadus morhua","44F9",70,72.3592352941176
"Gadus morhua","44G0",70,43.3061578947368
"Pleuronectes platessa","44G0",70,12
"Gadus morhua","44G1",70,65.8040476190476
"Gadus morhua","45E7",70,0.5
"Gadus morhua","45E8",70,1
"Gadus morhua","45E9",70,1
"Gadus morhua","45F0",70,2.375
"Gadus morhua","45F1",70,5.25
"Gadus morhua","45F2",70,1.16666666666667
"Gadus morhua","45F3",70,6.75
"Gadus morhua","45F4",70,8.16666666666667
"Gadus morhua","45F9",70,15.2
"Gadus morhua","45G0",70,15.4167857142857
"Gadus morhua","45G1",70,16.7916428571429
"Gadus morhua","46F0",70,2.55566666666667
"Gadus morhua","46F1",70,1
"Gadus morhua","46F2",70,0.667
"Gadus morhua","46F3",70,1
"Gadus morhua","46G0",70,29.423
"Gadus morhua","46G1",70,14
"Gadus morhua","47E8",70,1.25
"Gadus morhua","47E9",70,1.4165
"Gadus morhua","47F0",70,6
"Gadus morhua","47F1",70,11
"Gadus morhua","47F2",70,4.25
"Gadus morhua","47F3",70,9.83333333333333
"Gadus morhua","48F1",70,49
"Gadus morhua","48F2",70,14
"Gadus morhua","48F3",70,2
"Gadus morhua","49F0",70,2.75
"Gadus morhua","49F1",70,2.25
"Gadus morhua","49F2",70,11.125
"Gadus morhua","49F3",70,11.3333333333333
"Gadus morhua","50F1",70,1
"Gadus morhua","50F2",70,1
"Gadus morhua","50F3",70,1
"Gadus morhua","32F1",80,1
"Pleuronectes platessa","32F1",80,1
"Pleuronectes platessa","32F3",80,14.8008
"Pleuronectes platessa","34F4",80,1
"Gadus morhua","35F2",80,1
"Gadus morhua","35F3",80,1
"Gadus morhua","36F0",80,1
"Gadus morhua","36F2",80,1.333
"Gadus morhua","36F4",80,1.167
"Gadus morhua","36F5",80,1.8
"Gadus morhua","36F7",80,4
"Gadus morhua","36F8",80,800
"Pleuronectes platessa","36F8",80,720
"Gadus morhua","37E9",80,6
"Gadus morhua","37F0",80,2.25
"Gadus morhua","37F1",80,1.5
"Gadus morhua","37F2",80,2
"Gadus morhua","37F5",80,2.667
"Gadus morhua","37F6",80,2.5
"Gadus morhua","37F7",80,63.8333333333333
"Pleuronectes platessa","37F8",80,33
"Gadus morhua","38E8",80,4
"Gadus morhua","38E9",80,1.47216666666667
"Gadus morhua","38F0",80,3.000125
"Gadus morhua","38F3",80,1
"Gadus morhua","38F6",80,2.5
"Gadus morhua","38F7",80,3.5
"Pleuronectes platessa","38F8",80,14
"Gadus morhua","39E9",80,1.55533333333333
"Gadus morhua","39F0",80,0.8335
"Gadus morhua","39F1",80,2
"Gadus morhua","39F4",80,1
"Gadus morhua","39F5",80,11.333
"Gadus morhua","39F6",80,7.54175
"Gadus morhua","39F7",80,5.5
"Gadus morhua","39F8",80,86
"Gadus morhua","40E8",80,2
"Gadus morhua","40E9",80,1.27766666666667
"Gadus morhua","40F0",80,1.770875
"Gadus morhua","40F1",80,156.861166666667
"Gadus morhua","40F2",80,26.91675
"Gadus morhua","40F3",80,1
"Gadus morhua","40F5",80,2.66666666666667
"Gadus morhua","40F6",80,5.22233333333333
"Gadus morhua","40F7",80,11.75
"Pleuronectes platessa","40F7",80,2.5
"Gadus morhua","41E7",80,3
"Gadus morhua","41E8",80,1
"Gadus morhua","41E9",80,1.5
"Gadus morhua","41F0",80,1.5
"Gadus morhua","41F1",80,4
"Gadus morhua","41F2",80,2.875
"Gadus morhua","41F3",80,66.625
"Gadus morhua","41F5",80,14.7756
"Gadus morhua","41F6",80,6
"Gadus morhua","41F7",80,8.875
"Gadus morhua","41G0",80,75.8571428571429
"Gadus morhua","41G1",80,3.85714285714286
"Gadus morhua","41G2",80,3.583375
"Gadus morhua","42E7",80,84
"Gadus morhua","42E9",80,0.9165
"Gadus morhua","42F0",80,9.08325
"Gadus morhua","42F1",80,14.5936
"Gadus morhua","42F2",80,8.14285714285714
"Gadus morhua","42F3",80,6.229125
"Gadus morhua","42F4",80,48.7776666666667
"Gadus morhua","42F5",80,3.1
"Gadus morhua","42F6",80,3.388
"Gadus morhua","42F7",80,23.5555
"Gadus morhua","42G1",80,10.4
"Gadus morhua","42G2",80,2.90309090909091
"Gadus morhua","43E9",80,0.8335
"Gadus morhua","43F0",80,2
"Gadus morhua","43F1",80,11.4762857142857
"Gadus morhua","43F2",80,7.54175
"Gadus morhua","43F3",80,4.77766666666667
"Gadus morhua","43F4",80,6.3335
"Gadus morhua","43F5",80,266.8
"Gadus morhua","43F6",80,20
"Gadus morhua","43F7",80,54.6
"Gadus morhua","43F8",80,32.6979375
"Gadus morhua","43G0",80,50.5625
"Pleuronectes platessa","43G0",80,11
"Gadus morhua","43G1",80,15.9400588235294
"Pleuronectes platessa","43G1",80,0.4
"Gadus morhua","43G2",80,13.5
"Gadus morhua","44E6",80,31
"Gadus morhua","44E7",80,20
"Gadus morhua","44E9",80,1.333
"Gadus morhua","44F0",80,1.2068
"Gadus morhua","44F1",80,6.04175
"Gadus morhua","44F2",80,1.125
"Gadus morhua","44F3",80,5.6665
"Gadus morhua","44F4",80,7.86108333333333
"Gadus morhua","44F5",80,4.8
"Gadus morhua","44F8",80,21.4999411764706
"Gadus morhua","44F9",80,68.99625
"Gadus morhua","44G0",80,52.0696086956522
"Pleuronectes platessa","44G0",80,26
"Gadus morhua","44G1",80,108.534095238095
"Pleuronectes platessa","44G1",80,1.5835
"Gadus morhua","45E6",80,2
"Gadus morhua","45E8",80,1.75
"Gadus morhua","45E9",80,0.75
"Gadus morhua","45F0",80,3.16675
"Gadus morhua","45F1",80,7
"Gadus morhua","45F2",80,2.83333333333333
"Gadus morhua","45F3",80,4.875
"Gadus morhua","45F4",80,9.16666666666667
"Gadus morhua","45F9",80,52
"Gadus morhua","45G0",80,19.3035714285714
"Gadus morhua","45G1",80,18.0157058823529
"Gadus morhua","46E8",80,1
"Gadus morhua","46E9",80,1
"Gadus morhua","46F0",80,2.3335
"Gadus morhua","46F1",80,3.5
"Gadus morhua","46F3",80,1
"Gadus morhua","46G0",80,42.9720833333333
"Gadus morhua","46G1",80,43.8333333333333
"Gadus morhua","47E8",80,1.33333333333333
"Gadus morhua","47E9",80,7
"Gadus morhua","47F0",80,8.25
"Gadus morhua","47F1",80,2.5
"Gadus morhua","47F2",80,2.25
"Gadus morhua","47F3",80,7.125
"Gadus morhua","48E9",80,1.5
"Gadus morhua","48F1",80,11.5
"Gadus morhua","48F2",80,1
"Gadus morhua","49E9",80,1
"Gadus morhua","49F0",80,1.5
"Gadus morhua","49F1",80,2.25
"Gadus morhua","49F2",80,27.4443333333333
"Gadus morhua","49F3",80,15.6666666666667
"Gadus morhua","50F1",80,1
"Gadus morhua","50F2",80,1.5
"Gadus morhua","51F1",80,1
"Pleuronectes platessa","32F3",90,25.93025
"Pleuronectes platessa","33F4",90,2
"Pleuronectes platessa","34F4",90,1
"Gadus morhua","35F2",90,0.75
"Gadus morhua","35F3",90,2
"Gadus morhua","35F4",90,1
"Gadus morhua","36F0",90,1
"Gadus morhua","36F2",90,1
"Gadus morhua","36F4",90,2
"Gadus morhua","36F5",90,1.73333333333333
"Gadus morhua","36F6",90,3
"Pleuronectes platessa","36F6",90,2
"Gadus morhua","36F8",90,480
"Pleuronectes platessa","36F8",90,480
"Gadus morhua","37E9",90,8
"Gadus morhua","37F0",90,1
"Gadus morhua","37F2",90,6
"Gadus morhua","37F4",90,1
"Gadus morhua","37F5",90,0.7
"Gadus morhua","37F6",90,2.22233333333333
"Gadus morhua","37F7",90,56.617
"Pleuronectes platessa","37F7",90,0.667
"Gadus morhua","37F8",90,1
"Pleuronectes platessa","37F8",90,30.25
"Gadus morhua","38E8",90,1
"Gadus morhua","38E9",90,1.22233333333333
"Gadus morhua","38F0",90,2.25
"Gadus morhua","38F5",90,1
"Gadus morhua","38F6",90,2.3335
"Gadus morhua","38F7",90,4.75
"Pleuronectes platessa","38F7",90,2
"Pleuronectes platessa","38F8",90,21
"Gadus morhua","39E9",90,1
"Gadus morhua","39F0",90,0.8335
"Gadus morhua","39F1",90,2
"Gadus morhua","39F4",90,2.16675
"Gadus morhua","39F5",90,14.667
"Gadus morhua","39F6",90,3.875
"Gadus morhua","39F7",90,9.8335
"Gadus morhua","39F8",90,2
"Pleuronectes platessa","39F8",90,15.5
"Gadus morhua","40E8",90,2
"Gadus morhua","40E9",90,0.667
"Gadus morhua","40F0",90,1.9666
"Gadus morhua","40F1",90,144
"Gadus morhua","40F2",90,37.1666666666667
"Gadus morhua","40F5",90,5
"Gadus morhua","40F6",90,7.22233333333333
"Gadus morhua","40F7",90,14.8333333333333
"Gadus morhua","41E7",90,2
"Gadus morhua","41E8",90,1
"Pleuronectes platessa","41E8",90,1
"Gadus morhua","41E9",90,2
"Gadus morhua","41F0",90,1.75
"Gadus morhua","41F1",90,2.25
"Gadus morhua","41F2",90,5.16666666666667
"Gadus morhua","41F3",90,13.8333333333333
"Gadus morhua","41F4",90,1
"Gadus morhua","41F5",90,37
"Gadus morhua","41F6",90,14.08325
"Gadus morhua","41F7",90,19.5
"Gadus morhua","41G0",90,100.4
"Gadus morhua","41G1",90,4.57142857142857
"Gadus morhua","41G2",90,2
"Gadus morhua","42E7",90,28
"Gadus morhua","42E9",90,1
"Gadus morhua","42F0",90,16.389
"Gadus morhua","42F1",90,18.4717142857143
"Gadus morhua","42F2",90,11.0334
"Gadus morhua","42F3",90,16.5556666666667
"Gadus morhua","42F4",90,259.667
"Gadus morhua","42F5",90,6.75
"Gadus morhua","42F6",90,4.5115
"Gadus morhua","42F7",90,36.83325
"Gadus morhua","42G1",90,14.85425
"Gadus morhua","42G2",90,2.86
"Gadus morhua","43E9",90,0.8335
"Gadus morhua","43F1",90,9.33333333333333
"Gadus morhua","43F2",90,8.12966666666667
"Gadus morhua","43F3",90,10.6666666666667
"Gadus morhua","43F4",90,3
"Gadus morhua","43F5",90,848
"Gadus morhua","43F6",90,10.5
"Gadus morhua","43F7",90,72.75
"Gadus morhua","43F8",90,27.8204615384615
"Pleuronectes platessa","43F9",90,5.804
"Gadus morhua","43G0",90,62.625
"Pleuronectes platessa","43G0",90,8
"Gadus morhua","43G1",90,35.56235
"Gadus morhua","43G2",90,18.9722222222222
"Pleuronectes platessa","43G2",90,6
"Gadus morhua","44E6",90,140
"Gadus morhua","44E7",90,48
"Gadus morhua","44E9",90,1.75
"Gadus morhua","44F0",90,1.77766666666667
"Gadus morhua","44F1",90,3.04175
"Gadus morhua","44F2",90,4
"Gadus morhua","44F3",90,14
"Gadus morhua","44F4",90,6.82046153846154
"Gadus morhua","44F5",90,7.69230769230769
"Gadus morhua","44F8",90,21.9666
"Gadus morhua","44F9",90,64.7448181818182
"Gadus morhua","44G0",90,54.9913043478261
"Pleuronectes platessa","44G0",90,4.75
"Gadus morhua","44G1",90,119.220304347826
"Pleuronectes platessa","44G1",90,4
"Gadus morhua","45E8",90,1.33333333333333
"Gadus morhua","45E9",90,3
"Gadus morhua","45F0",90,6.5
"Gadus morhua","45F1",90,10
"Gadus morhua","45F2",90,2.16666666666667
"Gadus morhua","45F3",90,2.5
"Gadus morhua","45F4",90,14.3333333333333
"Gadus morhua","45F9",90,39.4
"Gadus morhua","45G0",90,20.0156875
"Gadus morhua","45G1",90,18.2389523809524
"Pleuronectes platessa","45G1",90,0.75
"Gadus morhua","46E8",90,1
"Gadus morhua","46E9",90,1.5
"Gadus morhua","46F0",90,3
"Gadus morhua","46F1",90,6
"Gadus morhua","46F3",90,1
"Gadus morhua","46G0",90,35.6904285714286
"Gadus morhua","46G1",90,43.2
"Gadus morhua","47E8",90,2
"Gadus morhua","47E9",90,6.25
"Gadus morhua","47F0",90,8.125
"Gadus morhua","47F1",90,1.16666666666667
"Gadus morhua","47F2",90,1.875
"Gadus morhua","47F3",90,2
"Gadus morhua","48E7",90,4
"Gadus morhua","48F0",90,1
"Gadus morhua","48F1",90,7.5
"Gadus morhua","48F2",90,1
"Gadus morhua","49E9",90,2
"Gadus morhua","49F1",90,2.25
"Gadus morhua","49F2",90,17.5415
"Gadus morhua","49F3",90,10
"Gadus morhua","50F1",90,1
"Gadus morhua","50F2",90,2
"Gadus morhua","32F1",100,1
"Pleuronectes platessa","32F1",100,1
"Gadus morhua","32F3",100,1
"Pleuronectes platessa","32F3",100,26.7758333333333
"Gadus morhua","33F2",100,17.892
"Pleuronectes platessa","33F4",100,2.308
"Gadus morhua","34F4",100,1
"Gadus morhua","35F0",100,6
"Gadus morhua","35F2",100,1.66666666666667
"Gadus morhua","35F3",100,10
"Pleuronectes platessa","35F4",100,6.774
"Gadus morhua","36F4",100,1.77766666666667
"Pleuronectes platessa","36F4",100,1
"Gadus morhua","36F5",100,2.3
"Pleuronectes platessa","36F5",100,1.75
"Gadus morhua","36F6",100,8
"Pleuronectes platessa","36F6",100,2
"Pleuronectes platessa","36F7",100,3
"Gadus morhua","36F8",100,280
"Pleuronectes platessa","36F8",100,200
"Gadus morhua","37E9",100,5
"Gadus morhua","37F0",100,5
"Gadus morhua","37F1",100,1
"Gadus morhua","37F2",100,3.75
"Gadus morhua","37F4",100,0.667
"Gadus morhua","37F5",100,7.33333333333333
"Gadus morhua","37F6",100,4.56175
"Gadus morhua","37F7",100,42.1666666666667
"Pleuronectes platessa","37F7",100,0.667
"Gadus morhua","37F8",100,22
"Pleuronectes platessa","37F8",100,7.33333333333333
"Gadus morhua","38E9",100,0.79175
"Gadus morhua","38F0",100,1.0334
"Gadus morhua","38F6",100,9.5
"Gadus morhua","38F7",100,3.75
"Pleuronectes platessa","38F7",100,3
"Gadus morhua","38F8",100,2
"Pleuronectes platessa","38F8",100,11.3333333333333
"Gadus morhua","39F0",100,2.667
"Gadus morhua","39F1",100,3
"Gadus morhua","39F4",100,4
"Gadus morhua","39F5",100,15.333
"Gadus morhua","39F6",100,4.4334
"Gadus morhua","39F7",100,13
"Pleuronectes platessa","39F7",100,1
"Gadus morhua","39F8",100,256
"Pleuronectes platessa","39F8",100,26
"Gadus morhua","40E8",100,4
"Gadus morhua","40E9",100,1.22233333333333
"Gadus morhua","40F0",100,1.44433333333333
"Gadus morhua","40F1",100,54
"Gadus morhua","40F2",100,17.6
"Gadus morhua","40F3",100,0.25
"Gadus morhua","40F5",100,2.5
"Gadus morhua","40F6",100,10
"Gadus morhua","40F7",100,37.75
"Gadus morhua","41E7",100,4
"Gadus morhua","41E8",100,1.3335
"Pleuronectes platessa","41E8",100,2
"Gadus morhua","41E9",100,4
"Gadus morhua","41F0",100,1
"Gadus morhua","41F2",100,1.25
"Gadus morhua","41F3",100,45
"Gadus morhua","41F4",100,0.968
"Gadus morhua","41F5",100,46.1665
"Gadus morhua","41F6",100,22
"Gadus morhua","41F7",100,13
"Gadus morhua","41G0",100,39.7142857142857
"Gadus morhua","41G1",100,3.75
"Pleuronectes platessa","41G1",100,1
"Gadus morhua","41G2",100,1.2
"Gadus morhua","42E7",100,9.875
"Gadus morhua","42F0",100,18.25
"Gadus morhua","42F1",100,4.29175
"Gadus morhua","42F2",100,4.1334
"Gadus morhua","42F3",100,31.4085
"Gadus morhua","42F4",100,60.2223333333333
"Gadus morhua","42F5",100,8.66666666666667
"Gadus morhua","42F6",100,6.50875
"Gadus morhua","42F7",100,17.6665
"Gadus morhua","42G1",100,14.22925
"Gadus morhua","42G2",100,2.963
"Gadus morhua","43E8",100,1
"Gadus morhua","43F0",100,2
"Gadus morhua","43F1",100,8.16666666666667
"Gadus morhua","43F2",100,9.27783333333333
"Gadus morhua","43F3",100,7.29175
"Gadus morhua","43F4",100,11.6665
"Gadus morhua","43F5",100,478
"Gadus morhua","43F6",100,6.66666666666667
"Gadus morhua","43F7",100,107
"Gadus morhua","43F8",100,33.4230769230769
"Pleuronectes platessa","43F8",100,3
"Gadus morhua","43F9",100,1.55566666666667
"Pleuronectes platessa","43F9",100,13.793
"Gadus morhua","43G0",100,61.4285714285714
"Pleuronectes platessa","43G0",100,6
"Gadus morhua","43G1",100,31.0618947368421
"Gadus morhua","43G2",100,23.75
"Pleuronectes platessa","43G2",100,4
"Gadus morhua","44E6",100,140
"Gadus morhua","44E7",100,19.0833333333333
"Gadus morhua","44E9",100,2.1665
"Gadus morhua","44F0",100,1
"Gadus morhua","44F1",100,3.75
"Gadus morhua","44F2",100,0.5
"Gadus morhua","44F3",100,9.3335
"Gadus morhua","44F4",100,8.45833333333333
"Gadus morhua","44F5",100,10.7727272727273
"Gadus morhua","44F8",100,26.1778
"Gadus morhua","44F9",100,53.4425714285714
"Gadus morhua","44G0",100,57.1469545454545
"Pleuronectes platessa","44G0",100,0.5
"Gadus morhua","44G1",100,106.321043478261
"Pleuronectes platessa","44G1",100,1.05566666666667
"Gadus morhua","45E9",100,5
"Gadus morhua","45F0",100,4.16666666666667
"Gadus morhua","45F1",100,13
"Gadus morhua","45F2",100,2.5
"Gadus morhua","45F3",100,2.66666666666667
"Gadus morhua","45F4",100,10.25
"Gadus morhua","45F9",100,40.375
"Gadus morhua","45G0",100,21.0302727272727
